incident_id,timestamp,severity,category,status,description
1024,2024-02-22 01:00:00.000000,High,Malware,Resolved,Trojan detected and quarantined on server.
1025,2024-04-01 14:00:00.000000,Low,Phishing,Resolved,Phishing email deleted before opening.
1026,2024-09-20 14:00:00.000000,Low,DDoS,In Progress,Minor service disruption due to DDoS.
1027,2024-02-04 13:00:00.000000,Medium,Phishing,Resolved,Phishing attempt impersonating IT support.
1028,2024-03-21 03:00:00.000000,Critical,Phishing,In Progress,High-profile phishing targeting C-level staff.
1029,2024-02-19 07:00:00.000000,Low,DDoS,Resolved,Short-lived DDoS attack mitigated.
1030,2024-01-02 05:00:00.000000,Medium,Phishing,In Progress,Phishing emails bypassed spam filter.
1031,2024-02-23 09:00:00.000000,Medium,Phishing,Resolved,Phishing site reported and taken down.
1032,2024-09-16 21:00:00.000000,Low,Malware,Resolved,Malware detected during routine scan.
1033,2024-07-09 17:00:00.000000,Medium,Phishing,Resolved,Phishing attempt using fake Microsoft login.
1034,2024-08-05 11:00:00.000000,Low,Unauthorized Access,In Progress,Attempted access to restricted area detected.
1035,2024-06-10 09:00:00.000000,High,Phishing,Resolved,Phishing attack resulted in credential compromise.
1036,2024-09-26 15:00:00.000000,Medium,Malware,Open,Malware beaconing to external IP.
1037,2024-09-27 07:00:00.000000,Medium,Malware,Resolved,Malware removed after user report.
1038,2024-08-02 07:00:00.000000,High,DDoS,Resolved,Major DDoS attack mitigated by ISP.
1039,2024-07-31 15:00:00.000000,High,Phishing,Open,Phishing emails targeting payroll staff.
1040,2024-08-24 17:00:00.000000,Low,Phishing,In Progress,Phishing attempt via social media message.
1041,2024-02-22 23:00:00.000000,Medium,Misconfiguration,Resolved,Incorrect DNS settings caused outage.
1042,2024-08-04 12:00:00.000000,High,Unauthorized Access,In Progress,Privilege escalation detected on server.
1043,2024-02-10 14:00:00.000000,Low,Unauthorized Access,In Progress,Failed login attempts from unknown IP.
1044,2024-03-05 06:00:00.000000,Low,Phishing,Closed,Phishing email flagged by user.
1045,2024-01-09 23:00:00.000000,Medium,Phishing,Resolved,Phishing attempt using fake invoice.
1046,2024-05-08 11:00:00.000000,Low,Phishing,Resolved,Phishing link detected and blocked.
1047,2024-05-15 23:00:00.000000,High,Malware,In Progress,Advanced malware detected on executive laptop.
1048,2024-03-03 10:00:00.000000,High,Phishing,Closed,Phishing attack resulted in account lockout.
1049,2024-03-21 07:00:00.000000,Low,Unauthorized Access,In Progress,Unauthorized badge swipe at entrance.
1050,2024-06-11 02:00:00.000000,Low,Phishing,Resolved,Phishing attempt blocked by email filter.
1051,2024-10-15 04:00:00.000000,Low,Misconfiguration,In Progress,Incorrect network segmentation detected.
1052,2024-08-18 08:00:00.000000,Medium,Malware,Closed,Malware infection resolved after scan.
1053,2024-01-28 06:00:00.000000,Low,Unauthorized Access,Resolved,Unauthorized access attempt logged.
1054,2024-07-19 07:00:00.000000,Low,Phishing,Resolved,Phishing email reported and deleted.
1055,2024-09-24 01:00:00.000000,Low,Malware,In Progress,Malware detected on backup server.
1056,2024-02-02 15:00:00.000000,Low,DDoS,Resolved,Brief DDoS attack on web portal.
1057,2024-03-02 23:00:00.000000,Medium,Phishing,Resolved,Phishing attempt using fake HR notice.
1058,2024-10-19 02:00:00.000000,Medium,Phishing,Resolved,Phishing campaign targeting remote workers.
1059,2024-06-20 07:00:00.000000,Medium,Misconfiguration,Resolved,Cloud storage misconfiguration exposed files.
1060,2024-08-01 02:00:00.000000,Low,DDoS,Resolved,Low-impact DDoS attack mitigated.
1061,2024-08-14 04:00:00.000000,Low,Phishing,Open,Phishing attempt via fake survey link.
1062,2024-05-10 00:00:00.000000,High,Malware,Closed,Malware outbreak contained in IT department.
1063,2024-01-05 22:00:00.000000,Medium,Malware,Resolved,Malware detected during software update.
1064,2024-09-11 13:00:00.000000,Medium,DDoS,Open,Ongoing DDoS attack on public-facing service.
1065,2024-10-09 08:00:00.000000,Medium,Phishing,In Progress,Phishing emails sent to multiple teams.
1066,2024-07-25 14:00:00.000000,Low,Phishing,Resolved,Phishing attempt using fake delivery notice.
1067,2024-02-11 12:00:00.000000,High,Phishing,Resolved,Phishing attack resulted in password reset.
1068,2024-06-27 06:00:00.000000,Critical,Malware,Resolved,Zero-day malware detected and removed.
1069,2024-08-28 19:00:00.000000,Medium,DDoS,Resolved,Mitigated DDoS targeting login page.
1070,2024-04-05 03:00:00.000000,High,Phishing,In Progress,Phishing campaign targeting executives.
1071,2024-08-09 04:00:00.000000,Medium,Misconfiguration,In Progress,Incorrect access controls on database.
1072,2024-08-18 12:00:00.000000,Low,Malware,Resolved,Malware detected and cleaned from desktop.
1073,2024-05-22 10:00:00.000000,Low,Phishing,Open,Phishing attempt via fake IT support call.
1074,2024-01-29 03:00:00.000000,Medium,Phishing,Closed,Phishing email impersonating CEO.
1075,2024-01-13 06:00:00.000000,Medium,Phishing,Resolved,Phishing attempt using fake meeting invite.
1076,2024-07-05 18:00:00.000000,Medium,Misconfiguration,Open,Unsecured database exposed to internet.
1077,2024-03-26 01:00:00.000000,Medium,DDoS,Open,Active DDoS attack on company website.
1078,2024-06-18 12:00:00.000000,High,Malware,Open,Malware detected on critical infrastructure.
1079,2024-03-02 20:00:00.000000,Medium,DDoS,Resolved,Mitigated DDoS on email server.
1080,2024-05-13 11:00:00.000000,Low,Malware,Closed,Malware removed from shared workstation.
1081,2024-02-13 19:00:00.000000,Medium,DDoS,In Progress,Intermittent DDoS causing slowdowns.
1082,2024-10-12 10:00:00.000000,Low,Phishing,Closed,Phishing attempt detected and blocked.
1083,2024-05-07 22:00:00.000000,Medium,Malware,Open,Malware detected on remote laptop.
1084,2024-08-18 00:00:00.000000,Medium,Phishing,In Progress,Phishing emails sent to HR team.
1085,2024-10-09 19:00:00.000000,Medium,Phishing,Closed,Phishing attempt using fake security alert.
1086,2024-08-20 02:00:00.000000,Medium,Phishing,Closed,Phishing campaign targeting managers.
1087,2024-07-16 07:00:00.000000,Low,Phishing,Closed,Phishing email reported by staff.
1088,2024-05-16 04:00:00.000000,High,Phishing,Resolved,Phishing attack resulted in data exposure.
1089,2024-08-12 18:00:00.000000,Medium,Phishing,Resolved,Phishing attempt using fake password reset.
1090,2024-08-21 11:00:00.000000,Medium,Misconfiguration,Resolved,Cloud misconfiguration allowed public access.
1091,2024-05-31 14:00:00.000000,Low,Phishing,Closed,Phishing attempt detected and contained.
1092,2024-06-08 23:00:00.000000,Critical,Phishing,Resolved,Phishing attack led to unauthorized wire transfer.
1093,2024-08-20 19:00:00.000000,Low,Unauthorized Access,In Progress,Unauthorized access attempt via VPN.
1094,2024-04-22 16:00:00.000000,Medium,Unauthorized Access,Resolved,Unauthorized access to internal system.
1095,2024-02-21 11:00:00.000000,High,Phishing,In Progress,Phishing campaign targeting IT admins.
1096,2024-10-21 01:00:00.000000,Low,Malware,Closed,Malware detected and removed from device.
1097,2024-04-22 04:00:00.000000,Low,DDoS,Closed,Brief DDoS attack on login portal.
1098,2024-04-22 23:00:00.000000,Low,Phishing,Resolved,Phishing email blocked by security filter.
1099,2024-03-21 16:00:00.000000,Medium,Misconfiguration,Open,Incorrect firewall rules applied.
